stage,stage_ns,stage_ms,stage_share,ns_per_element,full_neon_ns,stwo_simd_ns,neon_over_stwo
R8_k19,953500,0.953500,0.10542949,0.90932846,9146042,7027500,1.30146453
R8_k16,910333,0.910333,0.10065647,0.86816120,9146042,7027500,1.30146453
R8_k13,908708,0.908708,0.10047679,0.86661148,9146042,7027500,1.30146453
R8_k10,924500,0.924500,0.10222293,0.88167191,9146042,7027500,1.30146453
R8_k7,908834,0.908834,0.10049073,0.86673164,9146042,7027500,1.30146453
R8_k4,954125,0.954125,0.10549860,0.90992451,9146042,7027500,1.30146453
TAIL_2L,3483959,3.483959,0.38522499,3.32256222,9146042,7027500,1.30146453
